Дата,Авиаотделение,Метеостанция,Температура,Точка_росы,Время_измерения,Осадки,Высота_снега,КППО_1,Класс_ПО_1,КППО_2,Класс_ПО_2,КППО_3,Класс_ПО_3,Пред_день,Ночь,Признак_снега
2025-06-02,Алапаевское,28248 : Алапаевск,30.7,8.4,14:00,5.0,0,685,1,380,1,4794,4,1,1,1
2025-06-02,,28346 : Артемовский,29.8,7.8,14:00,6.0,0,656,1,350,1,4266,4,1,1,1
2025-06-02,,28351 : Ирбит-Фомино,31.7,13.4,14:00,0.0,0,4207,4,4082,4,4748,4,1,1,1
2025-06-02,,28345 : Липовское,30.7,7.5,14:00,4.0,0,712,1,480,1,4381,4,1,1,1
2025-06-02,Ивдельское,23829 : Атымья,29.1,8.8,14:00,1.0,0,4660,4,1180,2,3497,3,1,1,1
2025-06-02,,23827 : Бурмантово,29.9,9.7,14:00,1.3,0,4781,4,1180,2,4658,4,1,1,1
2025-06-02,,23921 : Ивдель,30.2,10.8,14:00,0.0,0,5047,4,4772,4,5608,4,1,1,1
2025-06-02,Красноуфимская,28333 : Висим,28.1,10.6,14:00,4.3,0,492,1,480,1,3856,3,1,1,1
2025-06-02,,28233 : Кушва,25.5,9.8,14:00,0.2,0,5038,4,4747,4,4797,4,1,1,1
2025-06-02,,28240 : Нижний Тагил,28.3,8.3,14:00,3.0,0,566,1,640,1,3597,3,1,1,1
2025-06-02,Свердловское,28445 : Верхнее Дуброво,29.9,7.0,14:00,0.0,0,4856,4,5069,4,6454,5,1,1,1
2025-06-02,,28440 : Екатеринбург,30.5,8.9,14:00,0.0,0,5061,4,5273,4,6883,5,1,1,1
2025-06-02,,28441 : Исток,29.9,7.3,14:00,0.0,0,5457,4,5435,4,7137,5,1,1,1
2025-06-02,,28449 : Каменск-Уральский,31.4,9.0,14:00,0.0,0,5743,4,5581,4,6980,5,1,1,1
2025-06-02,,28444 : Кольцово,29.9,8.4,14:00,1.1,0,4943,4,1180,2,5596,4,0,0,1
2025-06-02,,28430 : Ревда,28.0,6.6,14:00,0.1,0,5082,4,5178,4,5537,4,1,1,1
2025-06-02,,28448 : Сысерть,30.1,6.0,14:00,0.1,0,5844,4,5865,4,8440,5,1,1,1
2025-06-02,Серовское,28144 : Верхотурье,31.1,10.6,14:00,0.0,0,4269,4,4131,4,4017,4,1,1,1
2025-06-02,,28041 : Краснотурьинск,29.1,10.0,14:00,2.0,0,4726,4,910,1,4355,4,1,1,1
2025-06-02,,28036 : Кытлым,22.2,13.3,14:00,2.0,0,4142,4,910,1,3871,3,1,1,1
2025-06-02,,23919 : Североуральск,30.3,8.9,14:00,0.3,0,5059,4,4502,4,4701,4,1,1,1
2025-06-02,,28044 : Серов,29.4,6.5,14:00,14.0,0,673,1,260,1,2488,3,1,1,1
2025-06-02,Сосьвинское,28049 : Гари,30.8,9.9,14:00,3.0,0,644,1,640,1,3125,3,1,1,1
2025-06-02,,28143 : Сосьва,30.8,9.6,14:00,4.6,0,653,1,370,1,3106,3,0,0,1
2025-06-02,,23925 : Шанталь,30.7,10.1,14:00,4.6,0,632,1,470,1,2451,3,0,0,1
2025-06-02,Тавдинское,28158 : Таборы,31.8,11.2,14:00,0.0,0,3938,3,3938,3,3938,3,1,1,1
2025-06-02,,28264 : Тавда,32.3,7.5,14:00,0.0,0,1610,2,1181,2,3817,3,1,1,1
2025-06-02,,28353 : Туринская Слобода,31.8,12.2,14:00,0.0,0,4048,4,4057,4,4595,4,1,1,1
2025-06-02,Тугулымское,28443 : Богданович,29.7,8.5,14:00,1.1,0,5639,4,1180,2,5692,4,0,0,1
2025-06-02,,28455 : Бутка,31.7,14.5,14:00,0.0,0,4525,4,4375,4,5093,4,1,1,1
2025-06-02,,28451 : Камышлов,31.2,9.4,14:00,0.0,0,4918,4,4906,4,5071,4,1,1,1
2025-06-02,,28359 : Тугулым,31.8,9.4,14:00,0.0,0,4913,4,1622,2,5490,4,1,1,1
2025-06-02,,28135 : Качканар,27.9,4.7,14:00,0.0,0,5437,4,5529,4,6193,5,1,1,1
2025-06-02,,28434 : Красноуфимск,28.5,9.2,14:00,0.0,0,5127,4,5260,4,7066,5,1,1,1
2025-06-02,,28438 : Михайловск,27.9,8.7,14:00,0.0,0,4995,4,4774,4,4725,4,1,1,1
2025-06-02,,28344 : Невьянск,29.0,4.2,14:00,0.1,0,5002,4,4968,4,5148,4,1,1,1
2025-06-02,,28255 : Туринск,31.5,13.3,14:00,0.6,0,4069,4,1180,2,4530,4,1,1,1
2025-06-02,,28334 : Шамары,28.7,9.4,14:00,1.0,0,4871,4,1180,2,4840,4,1,1,1
2025-06-01,Алапаевское,28248 : Алапаевск,31.6,7.2,14:00,0.0,0,4868,4,4697,4,4980,4,1,1,1
2025-06-01,,28346 : Артемовский,30.8,5.4,14:00,0.1,0,4512,4,4410,4,4797,4,1,1,1
2025-06-01,,28351 : Ирбит-Фомино,30.7,10.8,14:00,0.0,0,3627,3,3502,3,4168,4,1,1,1
2025-06-01,,28345 : Липовское,30.3,9.3,14:00,0.0,0,4376,4,4277,4,4381,4,1,1,1
2025-06-01,Ивдельское,23829 : Атымья,31.4,7.6,14:00,0.0,0,4069,4,3315,3,2906,3,1,1,1
2025-06-01,,23827 : Бурмантово,31.3,5.2,14:00,0.0,0,4177,4,3567,3,4054,4,1,1,1
2025-06-01,,23921 : Ивдель,31.3,7.1,14:00,0.0,0,4461,4,4186,4,5022,4,1,1,1
2025-06-01,Красноуфимская,28333 : Висим,27.8,11.9,14:00,0.1,0,3316,3,3077,3,3856,3,1,1,1
2025-06-01,,28233 : Кушва,29.6,8.1,14:00,0.0,0,4638,4,4347,4,4397,4,1,1,1
2025-06-01,,28240 : Нижний Тагил,28.7,11.2,14:00,0.0,0,3714,3,3598,3,3597,3,1,1,1
2025-06-01,Свердловское,28445 : Верхнее Дуброво,29.6,8.6,14:00,0.2,0,4171,4,4384,4,5769,4,1,1,1
2025-06-01,,28440 : Екатеринбург,31.3,8.8,14:00,0.0,0,4402,4,4614,4,6224,5,1,1,1
2025-06-01,,28441 : Исток,30.1,7.8,14:00,0.0,0,4781,4,4759,4,6461,5,1,1,1
2025-06-01,,28449 : Каменск-Уральский,31.2,11.5,14:00,0.1,0,5040,4,4878,4,6277,5,1,1,1
2025-06-01,,28444 : Кольцово,30.6,9.2,14:00,0.0,0,4300,4,4398,4,4953,4,0,0,1
2025-06-01,,28430 : Ревда,30.2,7.8,14:00,0.0,0,4483,4,4579,4,4938,4,1,1,1
2025-06-01,,28448 : Сысерть,30.4,4.9,14:00,0.0,0,5119,4,5140,4,7715,5,1,1,1
2025-06-01,Серовское,28144 : Верхотурье,31.2,11.0,14:00,0.0,0,3631,3,3493,3,3379,3,1,1,1
2025-06-01,,28041 : Краснотурьинск,29.0,9.9,14:00,0.0,0,4170,4,3619,3,4355,4,1,1,1
2025-06-01,,28036 : Кытлым,28.0,9.5,14:00,0.0,0,3944,3,3385,3,3871,3,1,1,1
2025-06-01,,23919 : Североуральск,30.7,8.1,14:00,0.0,0,4411,4,3854,3,4053,4,1,1,1
2025-06-01,,28044 : Серов,31.6,7.7,14:00,1.0,0,5136,4,1180,2,5075,4,1,1,1
2025-06-01,Сосьвинское,28049 : Гари,30.1,11.4,14:00,0.0,0,3274,3,3125,3,3125,3,1,1,1
2025-06-01,,28143 : Сосьва,31.1,10.1,14:00,0.9,0,4087,4,1180,2,3139,3,0,0,1
2025-06-01,,23925 : Шанталь,31.4,9.8,14:00,0.8,0,3362,3,1180,2,2482,3,0,0,1
2025-06-01,Тавдинское,28158 : Таборы,30.5,10.9,14:00,0.0,0,3283,3,3283,3,3283,3,1,1,1
2025-06-01,,28264 : Тавда,31.0,4.9,14:00,5.1,0,809,1,380,1,3016,3,1,1,1
2025-06-01,,28353 : Туринская Слобода,30.2,10.1,14:00,0.1,0,3425,3,3434,3,3972,3,1,1,1
2025-06-01,Тугулымское,28443 : Богданович,31.0,9.7,14:00,0.0,0,5009,4,4444,4,5062,4,0,0,1
2025-06-01,,28455 : Бутка,30.2,10.7,14:00,0.1,0,3980,3,3830,3,4548,4,1,1,1
2025-06-01,,28451 : Камышлов,30.5,8.4,14:00,0.1,0,4238,4,4226,4,4391,4,1,1,1
2025-06-01,,28359 : Тугулым,30.4,7.9,14:00,1.7,0,4201,4,910,1,4778,4,0,1,1
2025-06-01,,28135 : Качканар,29.1,6.8,14:00,0.0,0,4790,4,4882,4,5546,4,1,1,1
2025-06-01,,28434 : Красноуфимск,31.9,13.6,14:00,0.0,0,4577,4,4710,4,6516,5,1,1,1
2025-06-01,,28438 : Михайловск,30.1,10.2,14:00,0.0,0,4459,4,4238,4,4189,4,1,1,1
2025-06-01,,28344 : Невьянск,29.9,9.0,14:00,0.0,0,4283,4,4249,4,4429,4,1,1,1
2025-06-01,,28255 : Туринск,30.6,12.9,14:00,0.0,0,3496,3,3383,3,3957,3,1,1,1
2025-06-01,,28334 : Шамары,29.3,12.6,14:00,0.0,0,4317,4,4222,4,4286,4,1,1,1
2025-07-16,Алапаевское,28248 : Алапаевск,18.0,4.3,14:00,0.0,0,4147,4,3421,3,7865,5,1,1,1
2025-07-16,,28346 : Артемовский,16.9,4.2,14:00,1.0,0,2419,3,1180,2,5108,4,1,1,1
2025-07-16,,28351 : Ирбит-Фомино,17.5,7.6,14:00,2.9,0,1601,2,590,1,4519,4,0,1,1
2025-07-16,,28345 : Липовское,16.2,5.9,14:00,1.0,0,1528,2,1050,2,2146,3,1,1,1
2025-07-16,Ивдельское,23829 : Атымья,13.1,6.4,14:00,0.4,0,174,1,568,1,3772,3,1,1,1
2025-07-16,,23827 : Бурмантово,14.8,7.6,14:00,1.0,0,3358,3,990,1,7076,5,1,1,1
2025-07-16,,23921 : Ивдель,15.5,5.4,14:00,0.7,0,4014,4,850,1,9240,5,1,1,1
2025-07-16,Красноуфимская,28333 : Висим,15.4,8.1,14:00,3.0,0,112,1,600,1,1398,2,1,1,1
2025-07-16,,28233 : Кушва,15.5,4.6,14:00,0.1,0,1777,2,1649,2,2121,3,1,1,1
2025-07-16,,28240 : Нижний Тагил,16.2,6.1,14:00,0.6,0,1349,2,940,1,1425,2,1,1,1
2025-07-16,Свердловское,28445 : Верхнее Дуброво,16.4,5.6,14:00,4.5,0,177,1,420,1,1795,2,1,1,1
2025-07-16,,28440 : Екатеринбург,15.8,4.0,14:00,5.0,0,186,1,330,1,4118,4,1,1,1
2025-07-16,,28441 : Исток,16.0,5.3,14:00,2.8,0,2334,3,640,1,4484,4,1,1,1
2025-07-16,,28449 : Каменск-Уральский,19.0,7.3,14:00,0.4,0,1750,2,1551,2,1786,2,1,1,1
2025-07-16,,28444 : Кольцово,17.1,5.9,14:00,4.3,0,192,1,270,1,774,1,0,0,1
2025-07-16,,28430 : Ревда,15.8,4.6,14:00,7.0,0,177,1,270,1,1686,2,1,1,1
2025-07-16,,28448 : Сысерть,17.4,4.3,14:00,3.4,0,228,1,280,1,556,1,1,1,1
2025-07-16,Серовское,28144 : Верхотурье,16.8,6.7,14:00,1.0,0,2826,3,1030,2,3309,3,1,1,1
2025-07-16,,28041 : Краснотурьинск,15.2,6.0,14:00,0.0,0,2892,3,1320,2,4742,4,1,1,1
2025-07-16,,28036 : Кытлым,14.4,3.5,14:00,0.0,0,2103,3,1746,2,4760,4,1,1,1
2025-07-16,,23919 : Североуральск,16.4,4.9,14:00,0.1,0,4118,4,3547,3,9845,5,1,1,1
2025-07-16,,28044 : Серов,15.9,2.9,14:00,0.3,0,383,1,847,1,4001,4,1,1,1
2025-07-16,Сосьвинское,28049 : Гари,15.8,7.6,14:00,1.0,0,230,1,530,1,3360,3,1,1,1
2025-07-16,,28143 : Сосьва,16.4,6.1,14:00,1.2,0,2470,3,680,1,2656,3,0,0,1
2025-07-16,,23925 : Шанталь,14.3,7.6,14:00,2.0,0,222,1,280,1,1723,2,0,0,1
2025-07-16,Тавдинское,28158 : Таборы,16.4,6.2,14:00,1.0,0,951,1,660,1,3470,3,1,1,1
2025-07-16,,28264 : Тавда,18.0,4.9,14:00,6.0,0,236,1,290,1,4145,4,1,1,1
2025-07-16,,28353 : Туринская Слобода,19.0,7.4,14:00,0.0,0,2120,3,1506,2,3947,3,1,1,1
2025-07-16,Тугулымское,28443 : Богданович,17.3,5.9,14:00,4.2,0,197,1,350,1,1559,2,0,0,1
2025-07-16,,28455 : Бутка,18.6,7.9,14:00,4.0,0,199,1,460,1,1443,2,1,1,1
2025-07-16,,28451 : Камышлов,18.5,6.7,14:00,7.0,0,218,1,270,1,1113,2,1,1,1
2025-07-16,,28359 : Тугулым,20.4,6.6,14:00,0.2,0,2654,3,2615,3,6346,5,1,1,1
2025-07-16,,28135 : Качканар,15.4,1.8,14:00,0.0,0,1958,2,1109,2,5825,4,1,1,1
2025-07-16,,28434 : Красноуфимск,18.3,8.5,14:00,4.0,0,179,1,480,1,2978,3,1,1,1
2025-07-16,,28438 : Михайловск,18.0,6.5,14:00,2.0,0,3199,3,910,1,3111,3,1,1,1
2025-07-16,,28344 : Невьянск,15.8,4.4,14:00,2.0,0,1827,2,850,1,1646,2,1,1,1
2025-07-16,,28255 : Туринск,16.5,8.1,14:00,4.0,0,139,1,370,1,5342,4,1,1,1
2025-07-16,,28334 : Шамары,15.5,8.9,14:00,8.0,0,102,1,250,1,888,1,1,1,1
2025-08-31,Алапаевское,28248 : Алапаевск,18.1,5.7,14:00,0.1,0,2962,3,954,1,4110,4,1,1,1
2025-08-31,,28346 : Артемовский,15.3,7.5,14:00,0.3,0,266,1,469,1,2675,3,1,1,1
2025-08-31,,28351 : Ирбит-Фомино,17.6,9.1,14:00,0.0,0,371,1,320,1,345,1,1,1,1
2025-08-31,,28345 : Липовское,15.6,8.9,14:00,0.0,0,228,1,285,1,940,1,1,1,1
2025-08-31,Ивдельское,23829 : Атымья,15.1,6.3,14:00,0.0,0,247,1,313,1,5835,4,1,1,1
2025-08-31,,23827 : Бурмантово,16.9,8.1,14:00,0.0,0,473,1,408,1,690,1,1,1,1
2025-08-31,,23921 : Ивдель,16.9,6.7,14:00,0.0,0,779,1,587,1,3541,3,1,1,1
2025-08-31,Красноуфимская,28333 : Висим,14.4,10.6,14:00,0.0,0,124,1,115,1,1094,2,1,1,1
2025-08-31,,28233 : Кушва,14.6,7.0,14:00,0.0,0,684,1,341,1,1799,2,1,1,1
2025-08-31,,28240 : Нижний Тагил,15.9,7.6,14:00,0.0,0,304,1,302,1,892,1,1,1,1
2025-08-31,Свердловское,28445 : Верхнее Дуброво,14.2,8.1,14:00,0.1,0,190,1,207,1,2121,3,1,1,1
2025-08-31,,28440 : Екатеринбург,14.5,7.9,14:00,0.2,0,214,1,546,1,1860,2,1,1,1
2025-08-31,,28441 : Исток,14.4,8.3,14:00,0.0,0,197,1,198,1,2206,3,1,1,1
2025-08-31,,28449 : Каменск-Уральский,15.4,9.4,14:00,0.0,0,1902,2,712,1,1569,2,1,1,1
2025-08-31,,28444 : Кольцово,14.1,9.1,14:00,0.6,0,177,1,60,1,789,1,0,0,1
2025-08-31,,28430 : Ревда,14.7,8.2,14:00,0.1,0,175,1,276,1,535,1,1,1,1
2025-08-31,,28448 : Сысерть,12.7,8.2,14:00,0.3,0,202,1,217,1,3420,3,1,1,1
2025-08-31,Серовское,28144 : Верхотурье,16.1,8.2,14:00,2.1,0,192,1,100,1,130,1,1,1,1
2025-08-31,,28041 : Краснотурьинск,16.5,6.9,14:00,0.0,0,736,1,611,1,983,1,1,1,1
2025-08-31,,28036 : Кытлым,14.6,9.1,14:00,0.0,0,226,1,140,1,230,1,1,1,1
2025-08-31,,23919 : Североуральск,14.9,7.1,14:00,0.0,0,243,1,226,1,557,1,1,1,1
2025-08-31,,28044 : Серов,16.1,5.5,14:00,0.0,0,942,1,806,1,2702,3,1,1,1
2025-08-31,Сосьвинское,28049 : Гари,16.5,7.8,14:00,0.0,0,230,1,384,1,8136,5,1,1,1
2025-08-31,,28143 : Сосьва,16.6,7.5,14:00,1.3,0,726,1,220,1,678,1,0,0,1
2025-08-31,,23925 : Шанталь,16.1,7.4,14:00,1.3,0,299,1,140,1,441,1,0,0,1
2025-08-31,Тавдинское,28158 : Таборы,15.0,8.7,14:00,2.0,0,276,1,200,1,108,1,1,1,1
2025-08-31,,28264 : Тавда,15.8,7.0,14:00,0.3,0,604,1,399,1,952,1,1,1,1
2025-08-31,,28353 : Туринская Слобода,16.1,8.4,14:00,0.5,0,233,1,374,1,2579,3,1,1,1
2025-08-31,Тугулымское,28443 : Богданович,14.6,9.6,14:00,0.4,0,172,1,83,1,904,1,0,0,1
2025-08-31,,28455 : Бутка,16.5,6.8,14:00,2.0,0,610,1,430,1,2247,3,1,1,1
2025-08-31,,28451 : Камышлов,15.9,7.6,14:00,0.1,0,225,1,522,1,2555,3,1,1,1
2025-08-31,,28359 : Тугулым,15.9,7.5,14:00,2.1,0,2166,3,690,1,5980,4,1,1,1
2025-08-31,,28135 : Качканар,14.2,6.7,14:00,0.0,0,602,1,307,1,471,1,1,1,1
2025-08-31,,28434 : Красноуфимск,12.4,12.4,14:00,4.0,0,0,1,40,1,1105,2,1,1,1
2025-08-31,,28438 : Михайловск,13.3,10.4,14:00,2.0,0,157,1,140,1,1306,2,1,1,1
2025-08-31,,28344 : Невьянск,14.6,8.0,14:00,0.0,0,618,1,476,1,1193,2,1,1,1
2025-08-31,,28255 : Туринск,15.4,8.6,14:00,0.0,0,394,1,535,1,3220,3,1,1,1
2025-08-31,,28334 : Шамары,14.5,10.1,14:00,0.2,0,132,1,64,1,969,1,1,1,1
